x, y, z, u, v
-1.77091, 4.14102, -1.74296, 739, 534
-2.9747, 3.44613, -1.6601, 524, 521
-5.84782, 7.4912, -0.668627, 550, 341
-5.29909, 7.79449, -1.90431, 599, 433
-6.48918, 7.1171, -1.83854, 495, 427
-5.39978, 6.79717, -0.652811, 546, 341
-4.82929, 7.14082, -1.8679, 598, 442
-6.0553, 6.47233, -1.82958, 485, 435
-4.85362, 6.04126, -0.620912, 540, 341
-4.33211, 6.30395, -1.8775, 598, 454
-5.52512, 5.65219, -1.76883, 472, 447
-4.19409, 5.00075, -0.542953, 529, 338
-3.65365, 5.29877, -1.78356, 598, 473
-4.84795, 4.62847, -1.70651, 449, 462
-6.72451, 7.11973, -0.706148, 482, 340
-6.19008, 7.42587, -1.94738, 528, 429
-7.40416, 6.72793, -1.84832, 429, 424
-6.28891, 6.41829, -0.63738, 469, 338
-5.72981, 6.73095, -1.86606, 520, 437
-6.96501, 6.01476, -1.77758, 411, 429
-5.76279, 5.56417, -0.573662, 450, 337
-5.20362, 5.81347, -1.81671, 507, 448
-6.37187, 5.19374, -1.76185, 385, 439
-5.76279, 5.56417, -0.573662, 450, 337
-5.20362, 5.81347, -1.81671, 507, 448
-6.37187, 5.19374, -1.76185, 385, 439
